message,message_length,num_digits,num_uppercase,num_special_chars,num_words,avg_word_length,num_exclamations,num_questions,label
"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT",155,1,13,29,24,5.5,0,0,1
Just got outta class gonna go gym.,34,0,1,7,7,4.0,0,0,0
Is there coming friday is leave for pongal?do you get any news from your work place.,84,0,1,17,16,4.3125,0,1,0
Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,156,0,6,37,32,3.90625,0,0,0
"My friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?",117,0,1,36,25,3.72,0,1,0
Is that on the telly? No its Brdget Jones!,42,0,4,10,9,3.7777777777777777,1,1,0
Yes.. now only saw your message..,33,0,1,9,6,4.666666666666667,0,0,0
You have 1 new voicemail. Please call 08719181513.,50,12,2,9,8,5.375,0,0,1
It is only yesterday true true.,31,0,1,6,6,4.333333333333333,0,0,0
"\Thinking of u ;) x\""""",22,0,1,10,5,3.6,0,0,0
You made my day. Do have a great day too.,41,0,2,11,10,3.2,0,0,0
Ok. C u then.,13,0,2,5,4,2.5,0,0,0
Don't b floppy... b snappy & happy! Only gay chat service with photo upload call 08718730666 (10p/min). 2 stop our texts call 08712460324,137,25,2,32,23,5.0,1,0,1
THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x,126,1,98,26,24,4.291666666666667,1,2,0
BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary,154,25,30,31,27,4.7407407407407405,1,0,1
So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!,96,0,12,22,19,4.105263157894737,2,1,0
GENT! We are trying to contact you. Last weekends draw shows that you won a Ã¥Â£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,161,22,23,34,27,5.0,1,0,1
U sure u can't take any sick time?,34,0,1,9,8,3.375,0,1,0
Sorry that was my uncle. I.ll keep in touch,43,0,2,10,9,3.888888888888889,0,0,0
How will I creep on you now? ;_;,32,0,2,11,8,3.125,0,1,0
No no:)this is kallis home ground.amla home town is durban:),60,0,1,14,10,5.1,0,0,0
Jus finish my lunch on my way home lor... I tot u dun wan 2 stay in sch today...,80,1,2,24,19,3.263157894736842,0,0,0
Rofl. Its true to its name,26,0,2,6,6,3.5,0,0,0
"Buzz! Hey, my Love ! I think of you and hope your day goes well. Did you sleep in ? I miss you babe. I long for the moment we are together again*loving smile*",158,0,7,41,34,3.676470588235294,2,1,0
Where is that one day training:-),33,0,1,8,6,4.666666666666667,0,0,0
"Can you tell Shola to please go to college of medicine and visit the academic department, tell the academic secretary what the current situation is and ask if she can transfer there. She should ask someone to check Sagamu for the same thing and lautech. Its vital she completes her medical education in Nigeria. Its less expensive much less expensive. Unless she will be getting citizen rates in new zealand.",408,0,8,75,70,4.8428571428571425,0,0,0
Haven't heard anything and he's not answering my texts so I'm guessing he flaked. That said the jb is fantastic,111,0,3,23,20,4.6,0,0,0
"Edison has rightly said, \A fool can ask more questions than a wise man can answer\"" Now you know why all of us are speechless during ViVa.. GM",143,0,7,33,28,4.142857142857143,0,0,0
Doing project w frens lor. ,27,0,1,6,5,4.4,0,0,0
Captain is in our room:),24,0,1,6,5,4.0,0,0,0
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a Ã¥Â£1500 Bonus Prize, call 09066364589",155,15,8,32,28,4.571428571428571,0,0,1
"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",161,19,66,31,23,6.043478260869565,0,0,1
Its good to hear from you,25,0,1,5,6,3.3333333333333335,0,0,0
I'll probably be by tomorrow (or even later tonight if something's going on),76,0,1,16,13,4.923076923076923,0,0,0
Ok thanx...,11,0,1,4,2,5.0,0,0,0
"Ya ok, vikky vl c witin  &lt;#&gt; mins and il reply u..",56,0,1,20,12,3.6666666666666665,0,0,0
Ok.,3,0,1,1,1,3.0,0,0,0
Hi da:)how is the todays class?,31,0,1,8,6,4.333333333333333,0,1,0
Meet after lunch la...,22,0,1,6,4,4.75,0,0,0
Ok set let u noe e details later...,35,0,1,10,8,3.5,0,0,0
Ok ok take care. I can understand.,34,0,2,8,7,4.0,0,0,0
But pls dont play in others life.,33,0,1,7,7,3.857142857142857,0,0,0
Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.,119,0,4,28,23,4.217391304347826,0,0,0
"yeah, that's what I was thinking",32,0,1,7,6,4.5,0,0,0
"Haha, just what I was thinkin",29,0,2,6,6,4.0,0,0,0
Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...,121,6,3,32,20,5.1,0,0,0
"Sir, i am waiting for your call.",32,0,1,8,7,3.7142857142857144,0,0,0
Happy new year to u too!,24,0,1,6,6,3.1666666666666665,1,0,0
"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around",133,0,2,32,30,3.466666666666667,0,0,0
"Mmmmm ... It was sooooo good to wake to your words this morning, my Love!! Mmmm fuck ... I love you too, my Lion ... *devouring kiss from across the sea*",153,0,6,45,31,3.967741935483871,2,0,0
No da. . Vijay going to talk in jaya tv,39,0,2,11,10,3.0,0,0,0
My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!,112,2,3,25,23,3.9130434782608696,3,0,0
Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;,69,0,5,17,13,4.384615384615385,0,0,0
Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,111,8,15,27,20,4.6,0,2,1
"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE",159,16,24,37,23,5.956521739130435,0,0,1
Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?,91,0,5,26,20,3.6,0,1,0
Urgent Please call 09066612661 from landline. Ã¥Â£5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE award. 20M12AQ. 150ppm. 16+ ÂÃÃ,159,25,18,36,24,5.666666666666667,0,0,1
Gud mrng dear hav a nice day,28,0,1,6,7,3.142857142857143,0,0,0
Dear how you. Are you ok?,25,0,2,7,6,3.3333333333333335,0,1,0
"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",166,0,4,36,22,6.545454545454546,0,1,0
Dont know supports ass and srt i thnk. I think ps3 can play through usb too,75,1,2,16,16,3.75,0,0,0
Yeah sure I'll leave in a min,29,0,2,7,7,3.2857142857142856,0,0,0
Hey... Why dont we just go watch x men and have lunch... Haha ,62,0,3,19,13,3.769230769230769,0,0,0
Its going good...no problem..but still need little experience to understand american customer voice...,102,0,1,20,13,6.923076923076923,0,0,0
Yes :)it completely in out of form:)clark also utter waste.,59,0,1,14,10,5.0,0,0,0
"Oh really? perform, write a paper, go to a movie AND be home by midnight, huh?",78,0,4,20,16,3.9375,0,2,0
"Sorry, I'll call later",22,0,2,5,4,4.75,0,0,0
"Oh fine, I'll be by tonight",27,0,2,7,6,3.6666666666666665,0,0,0
How's ur paper?,15,0,1,4,3,4.333333333333333,0,1,0
Ur TONEXS subscription has been renewed and you have been charged Ã¥Â£4.50. You can choose 10 more polys this month. www.clubzed.co.uk *BILLING MSG*,148,5,20,32,23,5.478260869565218,0,0,1
5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,160,19,7,35,31,4.193548387096774,0,0,1
K..k:)where are you?how did you performed?,42,0,1,11,6,6.166666666666667,0,2,0
Yes:)from last week itself i'm taking live call.,48,0,1,11,8,5.125,0,0,0
"Final Chance! Claim ur Ã¥Â£150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. Ã¥Â£3.00 Subs 16",165,18,26,38,27,5.148148148148148,4,0,1
TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...,143,0,9,34,28,4.142857142857143,1,0,1
"I guess you could be as good an excuse as any, lol.",51,0,1,13,12,3.3333333333333335,0,0,0
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,141,1,19,27,26,4.461538461538462,2,0,0
But i'm really really broke oh. No amount is too small even  &lt;#&gt; ,71,0,2,21,13,4.384615384615385,0,0,0
"Ah, well that confuses things, doesnÂÃÃ·t it?",47,0,4,12,7,5.857142857142857,0,1,0
"Aight, sounds good. When do you want me to come down?",53,0,2,13,11,3.909090909090909,0,1,0
Dun need to use dial up juz open da browser n surf...,53,0,1,14,12,3.5,0,0,0
Send me your id and password,28,0,1,5,6,3.8333333333333335,0,0,0
K k:) sms chat with me.,23,0,1,8,6,3.0,0,0,0
On the way to office da..,25,0,1,7,6,3.3333333333333335,0,0,0
"I have 2 sleeping bags, 1 blanket and paper and  phone details. Anything else?",78,2,2,17,14,4.571428571428571,0,1,0
FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for Ã¥Â£3/wk,160,9,35,37,28,4.75,1,0,1
Are you free now?can i call now?,32,0,1,8,7,3.7142857142857144,0,2,0
We're finally ready fyi,23,0,1,4,4,5.0,0,0,0
Okie but i scared u say i fat... Then u dun wan me already...,61,0,2,19,14,3.4285714285714284,0,0,0
FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!,156,7,16,34,29,4.413793103448276,1,1,1
"Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now.",147,0,3,31,28,4.285714285714286,2,0,0
Well. Im computerless. Time to make some oreo truffles,54,0,3,10,9,5.111111111111111,0,0,0
Discussed with your mother ah?,30,0,1,5,5,5.2,0,1,0
"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u..",81,0,1,21,19,3.3157894736842106,0,0,0
"Congratulations! Thanks to a good friend U have WON the Ã¥Â£2,000 Xmas prize. 2 claim is easy, just call 08718726971 NOW! Only 10p per minute. BT-national-rate.",160,18,15,36,26,5.1923076923076925,2,0,1
"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",161,3,18,35,29,4.586206896551724,1,0,1
Yes I know the cheesy songs from frosty the snowman :),54,0,2,12,11,4.0,0,0,0
:-( that's not v romantic!,26,0,0,9,5,4.4,1,0,0
I come n pick Ã_ up... Come out immediately aft ur lesson...,61,0,3,19,12,4.166666666666667,0,0,0
